value,count,class,area_m2,Site
100,6756,below 5 percent,6080400,D03_JERC_R2_P1_v1
200,3518,5-10%,3166200,D03_JERC_R2_P1_v1
300,7468,10-50%,6721200,D03_JERC_R2_P1_v1
400,255,over 50%,229500,D03_JERC_R2_P1_v1
NA,547839,NA,493055100,D03_JERC_R2_P1_v1
