value,count,class,area_m2,Site
100,11700,below 5 percent,10530000,D16_WREF_C1_P1_v2
200,578,5-10%,520200,D16_WREF_C1_P1_v2
300,9836,10-50%,8852400,D16_WREF_C1_P1_v2
400,139,over 50%,125100,D16_WREF_C1_P1_v2
NA,620627,NA,558564300,D16_WREF_C1_P1_v2
