value,count,class,area_m2,Site
100,9461,below 5 percent,8514900,D02_SCBI_C1_P1_v1
200,2171,5-10%,1953900,D02_SCBI_C1_P1_v1
300,10172,10-50%,9154800,D02_SCBI_C1_P1_v1
400,2436,over 50%,2192400,D02_SCBI_C1_P1_v1
NA,159372,NA,143434800,D02_SCBI_C1_P1_v1
