class_name,count,percent_cover,Site
"Developed, Open Space",204,0.0011675623701516114,D17_SOAP_R1_P1_v2
"Developed, Low Intensity",17,9.729686417930095e-5,D17_SOAP_R1_P1_v2
"Developed, Medium Intensity",1,5.7233449517235855e-6,D17_SOAP_R1_P1_v2
Deciduous Forest,551,0.0031535630683996955,D17_SOAP_R1_P1_v2
Evergreen Forest,151157,0.865123652867682,D17_SOAP_R1_P1_v2
Mixed Forest,469,0.0026842487823583614,D17_SOAP_R1_P1_v2
Shrub/Scrub,21357,0.12223347813396061,D17_SOAP_R1_P1_v2
Grassland/Herbaceous,967,0.005534474568316707,D17_SOAP_R1_P1_v2
