value,count,class,area_m2,Site
100,191,below 5 percent,171900,D15_REDB_A1_P1_v1
300,1,10-50%,900,D15_REDB_A1_P1_v1
NA,59263,NA,53336700,D15_REDB_A1_P1_v1
