value,count,class,area_m2,Site
100,9867,below 5 percent,8880300,D16_ABBY_R2_P1_v1
200,1172,5-10%,1054800,D16_ABBY_R2_P1_v1
300,2186,10-50%,1967400,D16_ABBY_R2_P1_v1
400,111,over 50%,99900,D16_ABBY_R2_P1_v1
NA,284456,NA,256010400,D16_ABBY_R2_P1_v1
