value,count,class,area_m2,Site
100,7836,below 5 percent,7052400,D09_NOGP_R2_P1_v1
200,2626,5-10%,2363400,D09_NOGP_R2_P1_v1
300,13719,10-50%,12347100,D09_NOGP_R2_P1_v1
400,7683,over 50%,6914700,D09_NOGP_R2_P1_v1
NA,204818,NA,184336200,D09_NOGP_R2_P1_v1
