value,count,class,area_m2,Site
100,7805,below 5 percent,7024500,D07_GRSM_R1_P1_all_v1
200,919,5-10%,827100,D07_GRSM_R1_P1_all_v1
300,1677,10-50%,1509300,D07_GRSM_R1_P1_all_v1
400,1679,over 50%,1511100,D07_GRSM_R1_P1_all_v1
NA,1294760,NA,1165284000,D07_GRSM_R1_P1_all_v1
