class_name,count,percent_cover,Site
"Developed, Open Space",633,0.018723932913301978,D13_WLOU_A1_P1_v1
"Developed, Low Intensity",20,5.915934569763659e-4,D13_WLOU_A1_P1_v1
"Developed, Medium Intensity",4,1.1831869139527317e-4,D13_WLOU_A1_P1_v1
Barren Land (Rock/Sand/Clay),5,1.4789836424409147e-4,D13_WLOU_A1_P1_v1
Evergreen Forest,30176,0.8925962078859407,D13_WLOU_A1_P1_v1
Shrub/Scrub,2081,0.06155529919839087,D13_WLOU_A1_P1_v1
Grassland/Herbaceous,717,0.021208625432602716,D13_WLOU_A1_P1_v1
Woody Wetlands,158,0.00467358831011329,D13_WLOU_A1_P1_v1
Emergent Herbaceous Wetlands,13,3.845357470346378e-4,D13_WLOU_A1_P1_v1
