value,count,class,area_m2,Site
100,1841,below 5 percent,1656900,D11_PRIN_C1_P2_v2
200,722,5-10%,649800,D11_PRIN_C1_P2_v2
300,1922,10-50%,1729800,D11_PRIN_C1_P2_v2
400,97,over 50%,87300,D11_PRIN_C1_P2_v2
NA,164748,NA,148273200,D11_PRIN_C1_P2_v2
