value,count,class,area_m2,Site
100,4423,below 5 percent,3980700,D06_UKFS_R1_P1_v2
200,2615,5-10%,2353500,D06_UKFS_R1_P1_v2
300,13802,10-50%,12421800,D06_UKFS_R1_P1_v2
400,5692,over 50%,5122800,D06_UKFS_R1_P1_v2
NA,230439,NA,207395100,D06_UKFS_R1_P1_v2
