value,count,class,area_m2,Site
100,10086,below 5 percent,9077400,D14_SRER_C1_P1_v3
200,848,5-10%,763200,D14_SRER_C1_P1_v3
300,1376,10-50%,1238400,D14_SRER_C1_P1_v3
400,200,over 50%,180000,D14_SRER_C1_P1_v3
NA,764532,NA,688078800,D14_SRER_C1_P1_v3
