value,count,class,area_m2,Site
100,7111,below 5 percent,6399900,D05_STEI_TREE_R1_P1_v2
200,2301,5-10%,2070900,D05_STEI_TREE_R1_P1_v2
300,4090,10-50%,3681000,D05_STEI_TREE_R1_P1_v2
400,26,over 50%,23400,D05_STEI_TREE_R1_P1_v2
NA,434184,NA,390765600,D05_STEI_TREE_R1_P1_v2
