value,count,class,area_m2,Site
100,13137,below 5 percent,11823300,D03_OSBS_C1_P1_v1
200,7323,5-10%,6590700,D03_OSBS_C1_P1_v1
300,10772,10-50%,9694800,D03_OSBS_C1_P1_v1
400,588,over 50%,529200,D03_OSBS_C1_P1_v1
NA,353198,NA,317878200,D03_OSBS_C1_P1_v1
