value,count,class,area_m2,Site
100,8997,below 5 percent,8097300,D02_SERC_R1_P1_v1
200,3191,5-10%,2871900,D02_SERC_R1_P1_v1
300,14608,10-50%,13147200,D02_SERC_R1_P1_v1
400,3021,over 50%,2718900,D02_SERC_R1_P1_v1
NA,153795,NA,138415500,D02_SERC_R1_P1_v1
