value,count,class,area_m2,Site
100,720,below 5 percent,648000,D16_MCRA_A2_P1_v1
200,31,5-10%,27900,D16_MCRA_A2_P1_v1
300,38,10-50%,34200,D16_MCRA_A2_P1_v1
NA,17301,NA,15570900,D16_MCRA_A2_P1_v1
