value,count,class,area_m2,Site
100,2489,below 5 percent,2240100,D06_KONZ_KONA_C1_P1_v2
200,1387,5-10%,1248300,D06_KONZ_KONA_C1_P1_v2
300,12083,10-50%,10874700,D06_KONZ_KONA_C1_P1_v2
400,5457,over 50%,4911300,D06_KONZ_KONA_C1_P1_v2
NA,530570,NA,477513000,D06_KONZ_KONA_C1_P1_v2
