value,count,class,area_m2,Site
100,1145,below 5 percent,1030500,D01_HOPB_C1_P2_v1
200,277,5-10%,249300,D01_HOPB_C1_P2_v1
300,582,10-50%,523800,D01_HOPB_C1_P2_v1
400,48,over 50%,43200,D01_HOPB_C1_P2_v1
NA,37512,NA,33760800,D01_HOPB_C1_P2_v1
