value,count,class,area_m2,Site
100,8188,below 5 percent,7369200,D02_BLAN_R2_P1_v1
200,1539,5-10%,1385100,D02_BLAN_R2_P1_v1
300,4400,10-50%,3960000,D02_BLAN_R2_P1_v1
400,430,over 50%,387000,D02_BLAN_R2_P1_v1
NA,217213,NA,195491700,D02_BLAN_R2_P1_v1
