value,count,class,area_m2,Site
100,4471,below 5 percent,4023900,D10_STER_R1_P1
200,1100,5-10%,990000,D10_STER_R1_P1
300,940,10-50%,846000,D10_STER_R1_P1
400,4,over 50%,3600,D10_STER_R1_P1
NA,185328,NA,166795200,D10_STER_R1_P1
