value,count,class,area_m2,Site
100,5376,below 5 percent,4838400,D17_SJER_C1_P1_v2
200,908,5-10%,817200,D17_SJER_C1_P1_v2
300,956,10-50%,860400,D17_SJER_C1_P1_v2
400,95,over 50%,85500,D17_SJER_C1_P1_v2
NA,167388,NA,150649200,D17_SJER_C1_P1_v2
