value,count,class,area_m2,Site
100,8210,below 5 percent,7389000,D07_ORNL_C1_P1_v8
200,3485,5-10%,3136500,D07_ORNL_C1_P1_v8
300,18218,10-50%,16396200,D07_ORNL_C1_P1_v8
400,12301,over 50%,11070900,D07_ORNL_C1_P1_v8
NA,477497,NA,429747300,D07_ORNL_C1_P1_v8
