value,count,class,area_m2,Site
100,1010,below 5 percent,909000,D04_LAJA_R1_P1_v6
200,835,5-10%,751500,D04_LAJA_R1_P1_v6
300,8428,10-50%,7585200,D04_LAJA_R1_P1_v6
400,2389,over 50%,2150100,D04_LAJA_R1_P1_v6
NA,307882,NA,277093800,D04_LAJA_R1_P1_v6
