value,count,class,area_m2,Site
100,5373,below 5 percent,4835700,D11_CLBJ_C1_P1_v2
200,1624,5-10%,1461600,D11_CLBJ_C1_P1_v2
300,3204,10-50%,2883600,D11_CLBJ_C1_P1_v2
400,320,over 50%,288000,D11_CLBJ_C1_P1_v2
NA,196007,NA,176406300,D11_CLBJ_C1_P1_v2
