class_name,count,percent_cover,Site
Open Water,50221,0.021260697872109838,D18_TOOL_C1_P1_v1
Perennial Ice/Snow,9,3.8100850410981173e-6,D18_TOOL_C1_P1_v1
"Developed, Low Intensity",16305,0.006902604066122756,D18_TOOL_C1_P1_v1
Barren Land (Rock/Sand/Clay),17825,0.007546085095285994,D18_TOOL_C1_P1_v1
Dwarf Scrub,1864123,0.7891630174518829,D18_TOOL_C1_P1_v1
Shrub/Scrub,226726,0.09598281566977908,D18_TOOL_C1_P1_v1
Sedge/Herbaceous,181402,0.07679522740280896,D18_TOOL_C1_P1_v1
Emergent Herbaceous Wetlands,5541,0.0023457423569694076,D18_TOOL_C1_P1_v1
