value,count,class,area_m2,Site
100,51,below 5 percent,45900,D04_CUPE_A1_P1_v1
200,14,5-10%,12600,D04_CUPE_A1_P1_v1
300,178,10-50%,160200,D04_CUPE_A1_P1_v1
400,16,over 50%,14400,D04_CUPE_A1_P1_v1
NA,16841,NA,15156900,D04_CUPE_A1_P1_v1
