value,count,class,area_m2,Site
100,3889,below 5 percent,3500100,D01_BART_R1_P1_v1
200,1056,5-10%,950400,D01_BART_R1_P1_v1
300,2763,10-50%,2486700,D01_BART_R1_P1_v1
400,435,over 50%,391500,D01_BART_R1_P1_v1
NA,207152,NA,186436800,D01_BART_R1_P1_v1
