value,count,class,area_m2,Site
100,11896,below 5 percent,10706400,D01_HARV_C1_P1_v1
200,2654,5-10%,2388600,D01_HARV_C1_P1_v1
300,9033,10-50%,8129700,D01_HARV_C1_P1_v1
400,1095,over 50%,985500,D01_HARV_C1_P1_v1
NA,595494,NA,535944600,D01_HARV_C1_P1_v1
