value,count,class,area_m2,Site
100,460,below 5 percent,414000,D04_GUAN_C1_P1_v1
200,744,5-10%,669600,D04_GUAN_C1_P1_v1
300,8682,10-50%,7813800,D04_GUAN_C1_P1_v1
400,5396,over 50%,4856400,D04_GUAN_C1_P1_v1
NA,124473,NA,112025700,D04_GUAN_C1_P1_v1
