value,count,class,area_m2,Site
100,1937,below 5 percent,1743300,D13_MOAB_R1_P1_v2
200,329,5-10%,296100,D13_MOAB_R1_P1_v2
300,630,10-50%,567000,D13_MOAB_R1_P1_v2
NA,177728,NA,159955200,D13_MOAB_R1_P1_v2
