value,count,class,area_m2,Site
100,1113,below 5 percent,1001700,D20_PUUM_C1_P1_v3
200,1782,5-10%,1603800,D20_PUUM_C1_P1_v3
300,598,10-50%,538200,D20_PUUM_C1_P1_v3
400,27,over 50%,24300,D20_PUUM_C1_P1_v3
NA,293732,NA,264358800,D20_PUUM_C1_P1_v3
