value,count,class,area_m2,Site
100,4937,below 5 percent,4443300,D10_RMNP_R2_P1_v1
200,766,5-10%,689400,D10_RMNP_R2_P1_v1
300,1905,10-50%,1714500,D10_RMNP_R2_P1_v1
400,202,over 50%,181800,D10_RMNP_R2_P1_v1
NA,312368,NA,281131200,D10_RMNP_R2_P1_v1
