value,count,class,area_m2,Site
100,11413,below 5 percent,10271700,D17_SOAP_R1_P1_v2
200,519,5-10%,467100,D17_SOAP_R1_P1_v2
300,247,10-50%,222300,D17_SOAP_R1_P1_v2
400,5,over 50%,4500,D17_SOAP_R1_P1_v2
NA,162539,NA,146285100,D17_SOAP_R1_P1_v2
