value,count,class,area_m2,Site
100,1759,below 5 percent,1583100,D05_CHEQ_R2_P1_v2
200,97,5-10%,87300,D05_CHEQ_R2_P1_v2
300,138,10-50%,124200,D05_CHEQ_R2_P1_v2
400,5,over 50%,4500,D05_CHEQ_R2_P1_v2
NA,90107,NA,81096300,D05_CHEQ_R2_P1_v2
