value,count,class,area_m2,Site
100,1681,below 5 percent,1512900,D10_CPER_C1_P1_v1
200,382,5-10%,343800,D10_CPER_C1_P1_v1
300,311,10-50%,279900,D10_CPER_C1_P1_v1
NA,191666,NA,172499400,D10_CPER_C1_P1_v1
