value,count,class,area_m2,Site
100,3337,below 5 percent,3003300,D12_YELL_C1_P1_v2
200,227,5-10%,204300,D12_YELL_C1_P1_v2
300,227,10-50%,204300,D12_YELL_C1_P1_v2
400,5,over 50%,4500,D12_YELL_C1_P1_v2
NA,711884,NA,640695600,D12_YELL_C1_P1_v2
