value,count,class,area_m2,Site
100,7773,below 5 percent,6995700,D14_JORN_R1_P1_v3
200,296,5-10%,266400,D14_JORN_R1_P1_v3
300,160,10-50%,144000,D14_JORN_R1_P1_v3
400,1,over 50%,900,D14_JORN_R1_P1_v3
NA,791620,NA,712458000,D14_JORN_R1_P1_v3
