value,count,class,area_m2,Site
100,15490,below 5 percent,13941000,D17_TEAK_R2_P1_v3
200,1024,5-10%,921600,D17_TEAK_R2_P1_v3
300,1613,10-50%,1451700,D17_TEAK_R2_P1_v3
400,149,over 50%,134100,D17_TEAK_R2_P1_v3
NA,299805,NA,269824500,D17_TEAK_R2_P1_v3
