value,count,class,area_m2,Site
100,15289,below 5 percent,13760100,D11_BLUE_A2_P1_v1
200,4629,5-10%,4166100,D11_BLUE_A2_P1_v1
300,7751,10-50%,6975900,D11_BLUE_A2_P1_v1
400,1143,over 50%,1028700,D11_BLUE_A2_P1_v1
NA,1106560,NA,995904000,D11_BLUE_A2_P1_v1
