value,count,class,area_m2,Site
100,1715,below 5 percent,1543500,D13_NIWO_C1_P1_v2
200,477,5-10%,429300,D13_NIWO_C1_P1_v2
300,1486,10-50%,1337400,D13_NIWO_C1_P1_v2
400,63,over 50%,56700,D13_NIWO_C1_P1_v2
NA,253652,NA,228286800,D13_NIWO_C1_P1_v2
