value,count,class,area_m2,Site
100,2950,below 5 percent,2655000,D08_DELA_R1_P1_v1
200,1446,5-10%,1301400,D08_DELA_R1_P1_v1
300,7942,10-50%,7147800,D08_DELA_R1_P1_v1
400,2828,over 50%,2545200,D08_DELA_R1_P1_v1
NA,154289,NA,138860100,D08_DELA_R1_P1_v1
