class_name,count,percent_cover,Site
"Developed, Open Space",191,0.004107261897081909,D15_REDB_A1_P1_v1
"Developed, Low Intensity",1,2.1503988989957638e-5,D15_REDB_A1_P1_v1
Deciduous Forest,28663,0.6163688364191557,D15_REDB_A1_P1_v1
Evergreen Forest,9189,0.19760015482872073,D15_REDB_A1_P1_v1
Mixed Forest,179,0.003849214029202417,D15_REDB_A1_P1_v1
Shrub/Scrub,8215,0.176655269552502,D15_REDB_A1_P1_v1
Grassland/Herbaceous,12,2.5804786787949165e-4,D15_REDB_A1_P1_v1
Woody Wetlands,46,9.891834935380514e-4,D15_REDB_A1_P1_v1
Emergent Herbaceous Wetlands,7,1.5052792292970346e-4,D15_REDB_A1_P1_v1
