value,count,class,area_m2,Site
100,14376,below 5 percent,12938400,D05_UNDE_C1_P1_v1
200,1154,5-10%,1038600,D05_UNDE_C1_P1_v1
300,665,10-50%,598500,D05_UNDE_C1_P1_v1
400,10,over 50%,9000,D05_UNDE_C1_P1_v1
NA,326881,NA,294192900,D05_UNDE_C1_P1_v1
