value,count,class,area_m2,Site
100,507,below 5 percent,456300,D13_WLOU_A1_P1_v1
200,217,5-10%,195300,D13_WLOU_A1_P1_v1
300,82,10-50%,73800,D13_WLOU_A1_P1_v1
NA,33001,NA,29700900,D13_WLOU_A1_P1_v1
