value,count,class,area_m2,Site
100,5282,below 5 percent,4753800,D09_WOOD_DCFS_C1_P1_v2
200,4006,5-10%,3605400,D09_WOOD_DCFS_C1_P1_v2
300,5111,10-50%,4599900,D09_WOOD_DCFS_C1_P1_v2
400,73,over 50%,65700,D09_WOOD_DCFS_C1_P1_v2
NA,814950,NA,733455000,D09_WOOD_DCFS_C1_P1_v2
