value,count,class,area_m2,Site
100,9906,below 5 percent,8915400,D11_OAES_R1_P1_v2
200,623,5-10%,560700,D11_OAES_R1_P1_v2
300,2484,10-50%,2235600,D11_OAES_R1_P1_v2
400,804,over 50%,723600,D11_OAES_R1_P1_v2
NA,342769,NA,308492100,D11_OAES_R1_P1_v2
