value,count,class,area_m2,Site
100,765,below 5 percent,688500,D06_MCDI_C1_P2_v1
200,412,5-10%,370800,D06_MCDI_C1_P2_v1
300,876,10-50%,788400,D06_MCDI_C1_P2_v1
NA,74498,NA,67048200,D06_MCDI_C1_P2_v1
