class_name,count,percent_cover,Site
Open Water,761843,0.3519553950127529,D18_BARR_R1_P1_v2
Perennial Ice/Snow,98851,0.04566707674994144,D18_BARR_R1_P1_v2
"Developed, Open Space",652,3.012102461377409e-4,D18_BARR_R1_P1_v2
"Developed, Low Intensity",37115,0.017146347063500385,D18_BARR_R1_P1_v2
"Developed, Medium Intensity",23518,0.010864819890594155,D18_BARR_R1_P1_v2
Barren Land (Rock/Sand/Clay),51477,0.023781288098822833,D18_BARR_R1_P1_v2
Sedge/Herbaceous,971433,0.44878155373669326,D18_BARR_R1_P1_v2
Emergent Herbaceous Wetlands,219712,0.10150230920155724,D18_BARR_R1_P1_v2
