value,count,class,area_m2,Site
100,4586,below 5 percent,4127400,D07_MLBS_R1_P1_v5
200,422,5-10%,379800,D07_MLBS_R1_P1_v5
300,451,10-50%,405900,D07_MLBS_R1_P1_v5
400,24,over 50%,21600,D07_MLBS_R1_P1_v5
NA,228179,NA,205361100,D07_MLBS_R1_P1_v5
