value,count,class,area_m2,Site
100,7161,below 5 percent,6444900,D08_TALL_C1_P1_v1
200,477,5-10%,429300,D08_TALL_C1_P1_v1
300,230,10-50%,207000,D08_TALL_C1_P1_v1
400,1,over 50%,900,D08_TALL_C1_P1_v1
NA,186661,NA,167994900,D08_TALL_C1_P1_v1
