value,count,class,area_m2,Site
100,24,below 5 percent,21600,D04_GUIL_A2_P1_v1
200,14,5-10%,12600,D04_GUIL_A2_P1_v1
300,244,10-50%,219600,D04_GUIL_A2_P1_v1
400,28,over 50%,25200,D04_GUIL_A2_P1_v1
NA,22016,NA,19814400,D04_GUIL_A2_P1_v1
