class_name,count,percent_cover,Site
Open Water,270,0.0035270603911118077,D06_MCDI_C1_P2_v1
"Developed, Open Space",1749,0.022847513422424266,D06_MCDI_C1_P2_v1
"Developed, Low Intensity",304,0.003971208736659221,D06_MCDI_C1_P2_v1
Deciduous Forest,2346,0.030646235842771485,D06_MCDI_C1_P2_v1
Mixed Forest,46,6.009065851523821e-4,D06_MCDI_C1_P2_v1
Shrub/Scrub,336,0.004389230708939138,D06_MCDI_C1_P2_v1
Grassland/Herbaceous,58221,0.7605517890034095,D06_MCDI_C1_P2_v1
Pasture/Hay,5500,0.0718475264856109,D06_MCDI_C1_P2_v1
Cultivated Crops,7779,0.1016185288239213,D06_MCDI_C1_P2_v1
