value,count,class,area_m2,Site
100,8571,below 5 percent,7713900,D03_DSNY_R1_P1_v1
200,2735,5-10%,2461500,D03_DSNY_R1_P1_v1
300,13137,10-50%,11823300,D03_DSNY_R1_P1_v1
400,3429,over 50%,3086100,D03_DSNY_R1_P1_v1
NA,207998,NA,187198200,D03_DSNY_R1_P1_v1
