value,count,class,area_m2,Site
100,1101,below 5 percent,990900,D15_ONAQ_C1_P1_v2
200,304,5-10%,273600,D15_ONAQ_C1_P1_v2
300,1467,10-50%,1320300,D15_ONAQ_C1_P1_v2
400,61,over 50%,54900,D15_ONAQ_C1_P1_v2
NA,279622,NA,251659800,D15_ONAQ_C1_P1_v2
