lat,lon,temp,precip,lcclass,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
70.5,-153,-10.7119,13.6093,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.5,-152.5,-10.6027,13.6264,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.5,-152,-10.4695,13.5517,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.5,-149.5,-10.3541,11.7229,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-161,-10.3166,12.8972,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-160.5,-10.4005,12.8042,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-160,-10.501,12.7113,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-159.5,-10.6843,12.7012,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-159,-10.7849,12.6409,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-158.5,-10.9188,12.6307,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-158,-11.0608,12.6544,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-157.5,-11.1277,12.6699,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-157,-11.1608,12.7028,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-156.5,-11.2016,12.8357,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-156,-11.1924,13.0195,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-155.5,-11.1077,13.2045,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-155,-11.015,13.4474,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-154.5,-10.9801,13.7157,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-154,-10.8545,13.9333,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-153.5,-10.745,14.1097,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-153,-10.6276,14.235,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-152.5,-10.4363,14.2521,"7","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
70.3333,-152,-10.2778,14.1607,"10","02","01785533",0400000US02,"02",AK,Alaska,"00",1477849359548,245487700921
